x,y,,C 1s at%,O 1s at%,Zn 2p at%,Cl 2p at%,S 2p at%,,,
-45,-15,0.0441416894,47.09,33,18.35,0.74,,99.18,#REF!,#REF!
-45,-5,0.0263954998,41.1,34.71,23.11,0.46,,99.38,#REF!,#REF!
-45,5,0.0258498584,32.34,38.03,28.24,0.66,,99.27,#REF!,#REF!
-45,15,0.0107891492,26.91,39.23,32.44,1.07,,99.65,#REF!,#REF!
-45,25,0.0082433201,22.6,41.13,35.18,0.8,,99.71,#REF!,#REF!
-45,35,0.0054960154,23.27,39.81,36.39,0.32,,99.79,#REF!,#REF!
-45,45,0.0090425532,50.38,30.01,18.8,0.65,,99.84,#REF!,#REF!
-35,-15,0.0354043735,28.35,41.81,28.81,,,98.97,#REF!,#REF!
-35,-5,0.0265685019,26.29,41.31,31.24,0.32,,99.16,#REF!,#REF!
-35,5,0.0142977292,20.82,42.53,35.67,0.47,,99.49,#REF!,#REF!
-35,15,0.0080450523,21.19,40.32,37.29,0.89,,,#REF!,#REF!
-35,25,0.0044087137,19.33,40.99,38.56,0.95,,,#REF!,#REF!
-35,35,0.0044742729,18.84,40.05,40.23,0.71,,,#REF!,#REF!
-35,45,0.0056737589,24.78,39.23,35.25,0.54,,,#REF!,#REF!
-25,-15,0.0314620605,22.71,42.95,32.42,0.9,,,#REF!,#REF!
-25,-5,0.0240096038,22.54,41.86,33.32,1.49,,,#REF!,#REF!
-25,5,0.0165289256,19.87,42.2,36.3,1.02,,,#REF!,#REF!
-25,15,0.0124804992,18.96,41.36,38.46,0.74,,,#REF!,#REF!
-25,25,0.008822788,19.11,40.49,39.67,0.39,,,#REF!,#REF!
-25,35,0.0056237219,19,40.62,39.12,1.04,,,#REF!,#REF!
-25,45,0.0044224766,19.78,41.17,38.44,0.45,,,#REF!,#REF!
-15,-25,0.0401116149,28.95,40.07,28.67,1.16,,,#REF!,#REF!
-15,-15,0.032218845,23.13,42.32,32.9,0.6,,,#REF!,#REF!
-15,-5,0.0237397421,23.88,40.68,34.12,0.52,,,#REF!,#REF!
-15,5,0.0182213761,21.28,40.51,36.77,0.76,,,#REF!,#REF!
-15,15,0.0122017354,20.49,41.69,36.88,0.49,,,#REF!,#REF!
-15,25,0.008905186,19.87,40.94,38.18,0.66,,,#REF!,#REF!
-15,35,0.0047343503,20.48,40.53,38.02,0.8,,,#REF!,#REF!
-15,45,0.0066684449,20.04,41.15,37.49,1.07,,,#REF!,#REF!
-5,-25,0.0427118644,27.18,42.04,29.5,0.02,,,#REF!,#REF!
-5,-15,0.0289812646,22.3,42.52,34.16,0.03,,,#REF!,#REF!
-5,-5,0.0143568708,24.05,40.81,34.13,0.51,,,#REF!,#REF!
-5,5,0.0138624626,22.2,39.69,36.79,0.81,,,#REF!,#REF!
-5,15,0.0096128171,20.65,40.73,37.45,0.81,,,#REF!,#REF!
-5,25,0.0087968952,19.54,40.94,38.65,0.54,,,#REF!,#REF!
