Thickness # 1 in nm vs. Position
X (cm)	Y (cm)	Z
-4.500000	4.500000	183.582947
-3.500000	4.500000	217.298508
-2.500000	4.500000	252.648041
-1.500000	4.500000	289.174042
-0.500000	4.500000	318.877472
0.500000	4.500000	338.269958
1.500000	4.500000	359.012115
2.500000	4.500000	384.210266
3.500000	4.500000	408.180511
4.500000	4.500000	404.998810
4.500000	3.500000	405.439148
3.500000	3.500000	392.425720
2.500000	3.500000	372.950348
1.500000	3.500000	352.977661
0.500000	3.500000	336.842041
-0.500000	3.500000	313.808655
-1.500000	3.500000	280.364441
-2.500000	3.500000	244.932617
-3.500000	3.500000	210.013031
-4.500000	3.500000	178.444916
-4.500000	2.500000	172.175995
-3.500000	2.500000	201.008942
-2.500000	2.500000	233.858078
-1.500000	2.500000	266.978638
-0.500000	2.500000	301.250793
0.500000	2.500000	329.645294
1.500000	2.500000	350.266022
2.500000	2.500000	363.999664
3.500000	2.500000	374.879791
4.500000	2.500000	384.473877
4.500000	1.500000	366.341705
3.500000	1.500000	363.557404
2.500000	1.500000	354.050934
1.500000	1.500000	336.388397
0.500000	1.500000	310.398682
-0.500000	1.500000	280.543335
-1.500000	1.500000	250.402756
-2.500000	1.500000	220.357086
-3.500000	1.500000	190.229279
-4.500000	1.500000	164.626129
-4.500000	0.500000	156.194977
-3.500000	0.500000	178.911728
-2.500000	0.500000	204.612503
-1.500000	0.500000	231.562668
-0.500000	0.500000	256.425934
0.500000	0.500000	283.249146
1.500000	0.500000	310.769104
2.500000	0.500000	331.515533
3.500000	0.500000	344.561859
4.500000	0.500000	349.258392
4.500000	-0.500000	319.392487
3.500000	-0.500000	312.663208
2.500000	-0.500000	298.722626
1.500000	-0.500000	278.768158
0.500000	-0.500000	256.128906
-0.500000	-0.500000	234.548294
-1.500000	-0.500000	212.024612
-2.500000	-0.500000	188.430923
-3.500000	-0.500000	167.739975
-4.500000	-0.500000	146.181442
-4.500000	-1.500000	135.929611
-3.500000	-1.500000	155.225128
-2.500000	-1.500000	173.354248
-1.500000	-1.500000	192.627823
-0.500000	-1.500000	212.067337
0.500000	-1.500000	231.520340
1.500000	-1.500000	248.580887
2.500000	-1.500000	263.159943
3.500000	-1.500000	273.944458
4.500000	-1.500000	281.336121
4.500000	-2.500000	243.963623
3.500000	-2.500000	239.917389
2.500000	-2.500000	232.307983
1.500000	-2.500000	220.578094
0.500000	-2.500000	205.956497
-0.500000	-2.500000	189.863068
-1.500000	-2.500000	174.249756
-2.500000	-2.500000	158.767014
-3.500000	-2.500000	140.531433
-4.500000	-2.500000	121.098770
-4.500000	-3.500000	110.050621
-3.500000	-3.500000	125.464088
-2.500000	-3.500000	142.466705
-1.500000	-3.500000	157.355682
-0.500000	-3.500000	169.734329
0.500000	-3.500000	181.524841
1.500000	-3.500000	192.643982
2.500000	-3.500000	202.255936
3.500000	-3.500000	208.823212
4.500000	-3.500000	211.960159
4.500000	-4.500000	183.652176
3.500000	-4.500000	181.775940
2.500000	-4.500000	177.852844
1.500000	-4.500000	170.302521
0.500000	-4.500000	163.186478
-0.500000	-4.500000	149.480667
-1.500000	-4.500000	138.128006
-2.500000	-4.500000	125.676025
-3.500000	-4.500000	113.353210
-4.500000	-4.500000	102.212448
