Eo1 vs. Position
X (cm)	Y (cm)	Z
-4.500000	4.500000	3.797346
-3.500000	4.500000	3.808924
-2.500000	4.500000	3.802608
-1.500000	4.500000	3.784159
-0.500000	4.500000	3.765310
0.500000	4.500000	3.746268
1.500000	4.500000	3.709364
2.500000	4.500000	3.670779
3.500000	4.500000	3.392399
4.500000	4.500000	3.611080
4.500000	3.500000	3.688398
3.500000	3.500000	3.709015
2.500000	3.500000	3.728054
1.500000	3.500000	3.759760
0.500000	3.500000	3.782063
-0.500000	3.500000	3.795241
-1.500000	3.500000	3.820580
-2.500000	3.500000	3.830545
-3.500000	3.500000	3.838098
-4.500000	3.500000	3.815045
-4.500000	2.500000	3.826137
-3.500000	2.500000	3.855521
-2.500000	2.500000	3.847448
-1.500000	2.500000	3.844044
-0.500000	2.500000	3.830048
0.500000	2.500000	3.810254
1.500000	2.500000	3.795693
2.500000	2.500000	3.779103
3.500000	2.500000	3.761070
4.500000	2.500000	3.736973
4.500000	1.500000	3.780766
3.500000	1.500000	3.805507
2.500000	1.500000	3.819574
1.500000	1.500000	3.826375
0.500000	1.500000	3.845526
-0.500000	1.500000	3.862014
-1.500000	1.500000	3.860720
-2.500000	1.500000	3.861343
-3.500000	1.500000	3.856099
-4.500000	1.500000	3.840158
-4.500000	0.500000	3.808706
-3.500000	0.500000	3.847201
-2.500000	0.500000	3.861618
-1.500000	0.500000	3.863913
-0.500000	0.500000	3.874608
0.500000	0.500000	3.873274
1.500000	0.500000	3.865436
2.500000	0.500000	3.852217
3.500000	0.500000	3.839109
4.500000	0.500000	3.813456
4.500000	-0.500000	3.871119
3.500000	-0.500000	3.879029
2.500000	-0.500000	3.880875
1.500000	-0.500000	3.876866
0.500000	-0.500000	3.877966
-0.500000	-0.500000	3.871891
-1.500000	-0.500000	3.866766
-2.500000	-0.500000	3.841892
-3.500000	-0.500000	3.828422
-4.500000	-0.500000	3.801862
-4.500000	-1.500000	3.835626
-3.500000	-1.500000	3.807130
-2.500000	-1.500000	3.845453
-1.500000	-1.500000	3.856256
-0.500000	-1.500000	3.870504
0.500000	-1.500000	3.881041
1.500000	-1.500000	3.877504
2.500000	-1.500000	3.884112
3.500000	-1.500000	3.890028
4.500000	-1.500000	3.889635
4.500000	-2.500000	3.904093
3.500000	-2.500000	3.903413
2.500000	-2.500000	3.896041
1.500000	-2.500000	3.886246
0.500000	-2.500000	3.868791
-0.500000	-2.500000	3.874160
-1.500000	-2.500000	3.860395
-2.500000	-2.500000	3.831092
-3.500000	-2.500000	3.845245
-4.500000	-2.500000	3.818513
-4.500000	-3.500000	3.818009
-3.500000	-3.500000	3.845622
-2.500000	-3.500000	3.866783
-1.500000	-3.500000	3.854822
-0.500000	-3.500000	3.856354
0.500000	-3.500000	3.880006
1.500000	-3.500000	3.887451
2.500000	-3.500000	3.888716
3.500000	-3.500000	3.893457
4.500000	-3.500000	3.897552
4.500000	-4.500000	3.893574
3.500000	-4.500000	3.887470
2.500000	-4.500000	3.873329
1.500000	-4.500000	3.863294
0.500000	-4.500000	3.866324
-0.500000	-4.500000	3.876666
-1.500000	-4.500000	3.872551
-2.500000	-4.500000	3.866597
-3.500000	-4.500000	3.872441
-4.500000	-4.500000	3.837575
