MSE vs. Position
X (cm)	Y (cm)	Z
-4.500000	4.500000	11.290173
-3.500000	4.500000	12.396919
-2.500000	4.500000	14.792720
-1.500000	4.500000	14.386902
-0.500000	4.500000	14.394919
0.500000	4.500000	17.177544
1.500000	4.500000	23.501476
2.500000	4.500000	35.061253
3.500000	4.500000	52.444618
4.500000	4.500000	45.485237
4.500000	3.500000	34.745770
3.500000	3.500000	27.072922
2.500000	3.500000	22.518480
1.500000	3.500000	18.754292
0.500000	3.500000	16.227598
-0.500000	3.500000	16.565359
-1.500000	3.500000	17.036848
-2.500000	3.500000	16.549936
-3.500000	3.500000	15.732466
-4.500000	3.500000	12.788151
-4.500000	2.500000	13.246588
-3.500000	2.500000	16.285664
-2.500000	2.500000	15.529842
-1.500000	2.500000	16.583412
-0.500000	2.500000	16.473232
0.500000	2.500000	17.320002
1.500000	2.500000	17.545259
2.500000	2.500000	20.088583
3.500000	2.500000	21.779028
4.500000	2.500000	26.036245
4.500000	1.500000	23.299133
3.500000	1.500000	20.589272
2.500000	1.500000	19.221750
1.500000	1.500000	18.160591
0.500000	1.500000	16.849089
-0.500000	1.500000	16.968885
-1.500000	1.500000	16.202509
-2.500000	1.500000	16.099268
-3.500000	1.500000	17.817331
-4.500000	1.500000	17.968336
-4.500000	0.500000	27.653545
-3.500000	0.500000	22.533783
-2.500000	0.500000	20.539703
-1.500000	0.500000	18.144905
-0.500000	0.500000	17.064707
0.500000	0.500000	17.088680
1.500000	0.500000	18.312239
2.500000	0.500000	19.501774
3.500000	0.500000	20.770542
4.500000	0.500000	24.717455
4.500000	-0.500000	20.417095
3.500000	-0.500000	19.486155
2.500000	-0.500000	18.845066
1.500000	-0.500000	18.303116
0.500000	-0.500000	18.381529
-0.500000	-0.500000	20.050484
-1.500000	-0.500000	23.132999
-2.500000	-0.500000	26.617458
-3.500000	-0.500000	32.785252
-4.500000	-0.500000	32.230431
-4.500000	-1.500000	33.861755
-3.500000	-1.500000	35.495289
-2.500000	-1.500000	33.512745
-1.500000	-1.500000	27.452387
-0.500000	-1.500000	24.429590
0.500000	-1.500000	22.279810
1.500000	-1.500000	21.280132
2.500000	-1.500000	19.602308
3.500000	-1.500000	19.135225
4.500000	-1.500000	19.178524
4.500000	-2.500000	21.067585
3.500000	-2.500000	21.883514
2.500000	-2.500000	21.955791
1.500000	-2.500000	22.944008
0.500000	-2.500000	24.195234
-0.500000	-2.500000	26.650316
-1.500000	-2.500000	30.887529
-2.500000	-2.500000	32.759167
-3.500000	-2.500000	34.820766
-4.500000	-2.500000	36.734226
-4.500000	-3.500000	32.515144
-3.500000	-3.500000	31.304193
-2.500000	-3.500000	28.728136
-1.500000	-3.500000	27.987537
-0.500000	-3.500000	27.751009
0.500000	-3.500000	26.470589
1.500000	-3.500000	23.874058
2.500000	-3.500000	22.574600
3.500000	-3.500000	22.400959
4.500000	-3.500000	21.439301
4.500000	-4.500000	26.505108
3.500000	-4.500000	27.063221
2.500000	-4.500000	26.419847
1.500000	-4.500000	25.254534
0.500000	-4.500000	24.110628
-0.500000	-4.500000	23.203785
-1.500000	-4.500000	24.257006
-2.500000	-4.500000	25.616512
-3.500000	-4.500000	28.300331
-4.500000	-4.500000	31.545383
