Thickness # 1 in nm vs. Position
X (cm)	Y (cm)	Z
-4.500000	4.500000	415.709167
-3.500000	4.500000	493.529541
-2.500000	4.500000	581.723083
-1.500000	4.500000	673.980103
-0.500000	4.500000	758.855835
0.500000	4.500000	824.552429
1.500000	4.500000	865.147583
2.500000	4.500000	898.756958
3.500000	4.500000	779.411804
4.500000	4.500000	950.403320
4.500000	3.500000	921.809875
3.500000	3.500000	907.463684
2.500000	3.500000	878.849121
1.500000	3.500000	842.859741
0.500000	3.500000	788.840332
-0.500000	3.500000	716.150391
-1.500000	3.500000	632.874817
-2.500000	3.500000	545.080200
-3.500000	3.500000	466.752289
-4.500000	3.500000	395.249207
-4.500000	2.500000	372.531525
-3.500000	2.500000	438.112366
-2.500000	2.500000	507.217834
-1.500000	2.500000	584.504517
-0.500000	2.500000	662.107971
0.500000	2.500000	732.119019
1.500000	2.500000	792.848083
2.500000	2.500000	837.732056
3.500000	2.500000	866.968872
4.500000	2.500000	878.174438
4.500000	1.500000	813.722290
3.500000	1.500000	798.620483
2.500000	1.500000	767.525757
1.500000	1.500000	719.035461
0.500000	1.500000	662.522766
-0.500000	1.500000	599.035217
-1.500000	1.500000	531.862427
-2.500000	1.500000	467.079407
-3.500000	1.500000	404.624542
-4.500000	1.500000	346.854095
-4.500000	0.500000	317.445740
-3.500000	0.500000	367.607697
-2.500000	0.500000	422.927979
-1.500000	0.500000	477.568115
-0.500000	0.500000	531.798218
0.500000	0.500000	586.505249
1.500000	0.500000	639.761414
2.500000	0.500000	681.356567
3.500000	0.500000	710.413696
4.500000	0.500000	723.067261
4.500000	-0.500000	629.078796
3.500000	-0.500000	617.011353
2.500000	-0.500000	592.349548
1.500000	-0.500000	556.491699
0.500000	-0.500000	514.213928
-0.500000	-0.500000	470.800934
-1.500000	-0.500000	425.520844
-2.500000	-0.500000	377.011566
-3.500000	-0.500000	331.081726
-4.500000	-0.500000	288.905487
-4.500000	-1.500000	264.028748
-3.500000	-1.500000	297.058533
-2.500000	-1.500000	335.726593
-1.500000	-1.500000	374.880981
-0.500000	-1.500000	414.321136
0.500000	-1.500000	451.311188
1.500000	-1.500000	483.135071
2.500000	-1.500000	509.163330
3.500000	-1.500000	526.759338
4.500000	-1.500000	535.074890
4.500000	-2.500000	455.221924
3.500000	-2.500000	450.310944
2.500000	-2.500000	437.411957
1.500000	-2.500000	417.472595
0.500000	-2.500000	391.043884
-0.500000	-2.500000	361.628479
-1.500000	-2.500000	330.106018
-2.500000	-2.500000	298.013977
-3.500000	-2.500000	268.072784
-4.500000	-2.500000	240.204132
-4.500000	-3.500000	214.489578
-3.500000	-3.500000	238.458649
-2.500000	-3.500000	264.186310
-1.500000	-3.500000	289.430237
-0.500000	-3.500000	314.521515
0.500000	-3.500000	338.018494
1.500000	-3.500000	357.662537
2.500000	-3.500000	372.439270
3.500000	-3.500000	381.379669
4.500000	-3.500000	384.329742
4.500000	-4.500000	325.668701
3.500000	-4.500000	323.478760
2.500000	-4.500000	316.520538
1.500000	-4.500000	304.337860
0.500000	-4.500000	288.289001
-0.500000	-4.500000	269.642883
-1.500000	-4.500000	248.738495
-2.500000	-4.500000	227.824631
-3.500000	-4.500000	209.247833
-4.500000	-4.500000	200.415833
